CustomerID,Recency,Frequency,Monetary,TotalOrders,TotalItems,FirstPurchase,LastPurchase,Country,UniqueProducts,AvgOrderValue,R_Score,F_Score,M_Score,RFM_Score,Weighted_RFM_Score,RF_Score,Segment,Cluster,PCA_1,PCA_2
-2147483648,10,372,22703.93,372,1353,2024-01-12 10:29:00,2025-05-02 12:50:00,Germany,12,61.03,5,5,5,15,15.5,55,VIP Customers,3,-4.693470480462136,1.613744070956769
10000,85,20,573.09,20,36,2024-03-07 15:26:00,2025-02-16 12:28:00,Italy,12,28.65,2,3,3,8,8.3,23,At-Risk Customers,0,-0.3800895872611055,0.21732673602308025
10001,101,13,320.09,13,21,2024-01-23 11:21:00,2025-01-30 21:51:00,United Kingdom,11,24.62,2,2,2,6,6.2,22,Lost Customers,0,0.30009152081453216,0.06696579658755822
10002,58,17,500.46,17,42,2024-05-15 18:37:00,2025-03-15 11:11:00,United Kingdom,10,29.44,4,3,3,10,10.3,43,Loyal Customers,0,-0.4177651402349998,-0.21981569574989454
10003,189,10,589.69,10,28,2024-03-15 11:27:00,2024-11-03 20:20:00,Italy,8,58.97,1,2,3,6,6.2,12,Occasional Buyers,1,0.844929922901541,1.2577171661939743
10004,47,56,1777.69,56,112,2024-01-31 15:54:00,2025-03-26 08:40:00,France,12,31.74,4,5,5,14,14.5,45,VIP Customers,3,-1.8985972007594236,0.5067833443860441
10005,21,29,731.22,29,49,2024-04-10 09:00:00,2025-04-21 14:17:00,Spain,12,25.21,5,4,4,13,13.4,54,VIP Customers,3,-1.2326665890776216,-0.35366918495158856
10006,39,18,717.9,18,37,2024-04-06 15:13:00,2025-04-03 11:47:00,Spain,12,39.88,4,3,3,10,10.3,43,Loyal Customers,0,-0.7756055523969402,-0.3153248751425209
10007,128,23,1065.37,23,49,2024-03-27 20:18:00,2025-01-04 08:32:00,Spain,11,46.32,1,4,4,9,9.4,14,At-Risk Customers,0,-0.44031204350358666,1.0020076540427323
10008,62,33,1156.31,33,54,2024-03-10 17:20:00,2025-03-10 17:59:00,Italy,12,35.04,3,5,5,13,13.5,35,High Potential,3,-1.2242007684815956,0.35030137363330144
10009,117,3,67.73,3,5,2024-08-08 18:04:00,2025-01-14 17:49:00,Italy,3,22.58,2,1,1,4,4.1,21,Lost Customers,4,2.021010846320722,-0.7269513689261798
10010,98,26,1381.98,26,63,2024-03-29 16:08:00,2025-02-02 19:36:00,Netherlands,10,53.15,2,4,5,11,11.4,24,At-Risk Customers,3,-0.8773442279713726,0.7628554804159411
10011,17,13,490.63,13,21,2024-01-22 17:40:00,2025-04-24 18:05:00,Italy,8,37.74,5,2,3,10,10.2,52,New Customers,0,-0.5534337097431918,-0.829640518878713
10012,38,47,1384.27,47,74,2024-02-08 09:29:00,2025-04-03 21:38:00,Netherlands,12,29.45,4,5,5,14,14.5,45,VIP Customers,3,-1.7299977490344856,0.247225656098119
10013,87,28,1077.39,28,60,2024-02-05 08:14:00,2025-02-14 13:40:00,Italy,11,38.48,2,4,4,10,10.4,24,At-Risk Customers,3,-0.8896383676831024,0.5736511161587917
10014,33,21,660.01,21,38,2024-03-11 21:25:00,2025-04-08 22:13:00,United Kingdom,11,31.43,5,4,3,12,12.4,54,Loyal Customers,0,-0.8803858034487254,-0.3597545546753215
10015,46,24,773.83,24,50,2024-02-11 13:12:00,2025-03-27 16:32:00,Germany,10,32.24,4,4,4,12,12.4,44,VIP Customers,0,-0.9441126675032661,-0.09777584721587837
10016,4,26,976.06,26,56,2024-03-05 09:30:00,2025-05-07 21:16:00,France,10,37.54,5,4,4,13,13.4,54,VIP Customers,3,-1.4322176104147808,-0.5099688604158599
10017,27,14,575.8,14,33,2024-03-08 10:45:00,2025-04-15 13:26:00,Italy,8,41.13,5,3,3,11,11.3,53,Loyal Customers,0,-0.6008082575823315,-0.6272484486789973
10018,36,12,458.39,12,26,2024-01-07 16:05:00,2025-04-05 19:13:00,Spain,6,38.2,4,2,3,9,9.2,42,New Customers,0,-0.32400213094303953,-0.6463279738173539
10019,50,32,1174.51,32,68,2024-02-17 20:13:00,2025-03-22 18:47:00,Italy,12,36.7,4,5,5,14,14.5,45,VIP Customers,3,-1.3039213409382615,0.1958083008775838
10020,49,37,1529.17,37,79,2024-03-05 08:49:00,2025-03-24 08:02:00,Spain,11,41.33,4,5,5,14,14.5,45,VIP Customers,3,-1.5352955068013971,0.32455565841018
10021,24,17,427.63,17,23,2024-03-13 16:10:00,2025-04-18 11:52:00,Portugal,10,25.15,5,3,2,10,10.3,53,Occasional Buyers,0,-0.6032837961277392,-0.6904191617018582
10022,6,12,378.16,12,27,2024-07-06 09:01:00,2025-05-06 08:39:00,Netherlands,9,31.51,5,2,2,9,9.2,52,New Customers,0,-0.46172518759682873,-1.0790507255308883
10023,77,26,874.32,26,60,2024-01-27 20:30:00,2025-02-23 22:02:00,United Kingdom,11,33.63,3,4,4,11,11.4,34,High Potential,3,-0.8168604106480801,0.35432229692501604
10024,89,23,800.83,23,42,2024-03-02 09:12:00,2025-02-12 13:52:00,Netherlands,11,34.82,2,4,4,10,10.4,24,At-Risk Customers,0,-0.6020648931505781,0.4278294000634512
10025,103,10,303.56,10,16,2024-05-14 16:06:00,2025-01-28 20:01:00,Spain,7,30.36,2,2,2,6,6.2,22,Lost Customers,1,0.5046103906303411,-0.019438180759023222
10026,52,31,1297.69,31,69,2024-04-12 08:04:00,2025-03-21 16:31:00,France,11,41.86,4,4,5,13,13.4,44,VIP Customers,3,-1.316066514027902,0.24108958254414098
10027,47,15,372.4,15,16,2024-04-07 11:15:00,2025-03-25 18:15:00,Netherlands,9,24.83,4,3,2,9,9.3,43,Occasional Buyers,0,-0.27940543512786026,-0.49768939818210545
10028,78,17,560.73,17,45,2024-01-31 13:29:00,2025-02-22 18:42:00,Italy,9,32.98,3,3,3,9,9.3,33,High Potential,0,-0.3189255485389773,0.06393703324206242
10029,20,23,832.61,23,53,2024-04-14 13:41:00,2025-04-22 08:41:00,Netherlands,10,36.2,5,4,4,13,13.4,54,VIP Customers,3,-1.1521049937975847,-0.410377514984362
10030,170,10,239.19,10,18,2024-05-12 20:39:00,2024-11-23 14:25:00,Germany,6,23.92,1,2,2,5,5.2,12,Lost Customers,1,1.1356905904328223,0.7291782052476588
