InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,InvoiceMonth,InvoiceDay
550216,23301,GARDENERS KNEELING PAD KEEP CALM,1,2011-08-30 07:52:00,2.13,14124,United Kingdom,2.13,2011-08,2011-08-30
546079,10002,INFLATABLE POLITICAL GLOBE,4,2011-07-15 13:24:00,0.92,13598,United Kingdom,3.68,2011-07,2011-07-15
538615,22326,ROUND SNACK BOXES SET OF4 WOODLAND,2,2011-07-24 14:34:00,3.93,12646,United Kingdom,7.86,2011-07,2011-07-24
545724,22629,SPACEBOY LUNCH BOX,1,2011-07-12 19:19:00,2.5,13552,United Kingdom,2.5,2011-07,2011-07-12
539600,23355,HOT WATER BOTTLE KEEP CALM,3,2011-12-02 18:32:00,5.06,12767,United Kingdom,15.18,2011-12,2011-12-02
539782,10002,INFLATABLE POLITICAL GLOBE,3,2011-07-18 17:58:00,1.16,12786,United Kingdom,3.48,2011-07,2011-07-18
548665,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-07-25 14:55:00,3.04,13920,Germany,9.12,2011-07,2011-07-25
536954,21175,GIN + TONIC DIET METAL SIGN,7,2011-04-28 15:06:00,2.57,12417,United Kingdom,17.99,2011-04,2011-04-28
549842,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-02-18 10:34:00,2.78,14072,United Kingdom,5.56,2011-02,2011-02-18
545846,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-01-14 13:04:00,3.59,13571,United Kingdom,7.18,2011-01,2011-01-14
543656,22382,LUNCH BAG SPACEBOY DESIGN,4,2011-10-18 19:21:00,1.63,13287,United Kingdom,6.52,2011-10,2011-10-18
549033,22745,POPPY'S PLAYHOUSE BEDROOM,2,2011-05-27 08:43:00,2.51,13968,United Kingdom,5.02,2011-05,2011-05-27
549812,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-08-09 14:05:00,6.14,14068,Germany,6.14,2011-08,2011-08-09
548955,22551,PLASTERS IN TIN SPACEBOY,1,2011-08-11 14:29:00,2.23,13965,France,2.23,2011-08,2011-08-11
546736,22752,SET 7 BABUSHKA NESTING BOXES,7,2011-07-21 16:41:00,7.19,13683,United Kingdom,50.33,2011-07,2011-07-21
538452,22423,REGENCY CAKESTAND 3 TIER,2,2011-07-05 19:08:00,14.04,12632,United Kingdom,28.08,2011-07,2011-07-05
537010,21232,STRAWBERRY CERAMIC TRINKET BOX,2,2011-07-20 10:35:00,1.36,12420,United Kingdom,2.72,2011-07,2011-07-20
545743,22326,ROUND SNACK BOXES SET OF4 WOODLAND,8,2011-11-13 12:02:00,2.22,13554,United Kingdom,17.76,2011-11,2011-11-13
550029,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2011-04-20 08:19:00,2.68,14088,United Kingdom,2.68,2011-04,2011-04-20
540242,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-03-18 17:13:00,1.64,12851,United Kingdom,1.64,2011-03,2011-03-18
549763,23356,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-03-13 07:25:00,5.65,14067,United Kingdom,11.3,2011-03,2011-03-13
