InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
530000,SKU-002,Organic Green Tea,1,2024-08-18 15:51:00,8.94,10064.0,Portugal,8.94
530000,SKU-011,Cotton Tote Bag,2,2024-05-18 08:23:00,10.51,10078.0,Portugal,21.02
530000,SKU-009,Running Socks,2,2024-07-24 19:56:00,7.43,10032.0,Portugal,14.86
530001,SKU-007,Desk Lamp,1,2024-11-03 21:23:00,30.14,10010.0,Netherlands,30.14
530001,SKU-012,Phone Stand,2,2024-09-29 08:52:00,11.37,10112.0,United Kingdom,22.74
530001,SKU-010,Bluetooth Speaker,2,2024-08-31 12:33:00,48.36,10068.0,Netherlands,96.72
530002,SKU-001,Premium Coffee Beans,1,2024-06-12 19:04:00,11.63,10063.0,Netherlands,11.63
530002,SKU-005,Notebook A5,2,2024-12-05 09:13:00,5.13,10048.0,France,10.26
530002,SKU-009,Running Socks,1,2025-02-02 09:06:00,7.43,10144.0,United Kingdom,7.43
530003,SKU-012,Phone Stand,1,2024-06-14 11:34:00,10.38,10101.0,Germany,10.38
530003,SKU-007,Desk Lamp,1,2024-12-02 11:12:00,31.02,10100.0,Italy,31.02
530003,SKU-009,Running Socks,1,2024-05-27 18:15:00,6.8,10118.0,Spain,6.8
530004,SKU-010,Bluetooth Speaker,1,2024-11-24 18:11:00,41.59,10061.0,Portugal,41.59
530004,SKU-009,Running Socks,3,2024-04-01 19:35:00,7.84,10053.0,Netherlands,23.52
530004,SKU-007,Desk Lamp,1,2024-07-09 19:06:00,31.28,10146.0,Spain,31.28
530005,SKU-011,Cotton Tote Bag,2,2024-10-16 17:22:00,10.78,10109.0,Italy,21.56
530005,SKU-011,Cotton Tote Bag,3,2024-11-04 15:44:00,10.34,10020.0,Netherlands,31.02
530005,SKU-011,Cotton Tote Bag,2,2024-06-07 14:56:00,9.97,10130.0,Portugal,19.94
530006,SKU-002,Organic Green Tea,1,2025-02-28 10:50:00,7.92,10069.0,Spain,7.92
530006,SKU-003,Ceramic Mug,1,2024-02-26 16:25:00,8.14,10099.0,Netherlands,8.14
530006,SKU-009,Running Socks,2,2024-06-18 13:42:00,6.42,10124.0,Germany,12.84
530007,SKU-003,Ceramic Mug,1,2024-09-08 16:38:00,8.22,10055.0,Netherlands,8.22
530007,SKU-008,Yoga Mat,4,2024-10-18 22:22:00,24.45,10078.0,Portugal,97.8
530007,SKU-006,Wireless Charger,1,2025-01-06 16:20:00,22.28,10125.0,Spain,22.28
530008,SKU-006,Wireless Charger,3,2024-09-29 14:48:00,25.7,10021.0,Portugal,77.1
530008,SKU-011,Cotton Tote Bag,1,2024-09-07 14:52:00,9.84,10140.0,France,9.84
530008,SKU-012,Phone Stand,3,2024-07-06 13:38:00,11.95,10085.0,Netherlands,35.85
530009,SKU-004,Reusable Bottle,1,2024-12-13 17:34:00,15.77,10100.0,Italy,15.77
530009,SKU-004,Reusable Bottle,1,2024-04-26 14:49:00,15.4,10143.0,Italy,15.4
530009,SKU-009,Running Socks,6,2024-03-10 22:47:00,7.51,10016.0,France,45.06
530010,SKU-005,Notebook A5,1,2024-03-31 13:28:00,5.7,10073.0,France,5.7
530010,SKU-008,Yoga Mat,1,2025-01-29 14:00:00,23.42,10078.0,Portugal,23.42
530010,SKU-012,Phone Stand,2,2024-04-21 08:18:00,13.03,10064.0,Portugal,26.06
530011,SKU-010,Bluetooth Speaker,1,2024-08-08 08:33:00,47.25,10057.0,France,47.25
530011,SKU-003,Ceramic Mug,2,2024-03-24 22:19:00,6.99,10071.0,France,13.98
530011,SKU-001,Premium Coffee Beans,1,2024-12-31 12:14:00,11.91,10118.0,Spain,11.91
530012,SKU-004,Reusable Bottle,1,2024-10-06 21:20:00,14.07,10120.0,Portugal,14.07
530012,SKU-001,Premium Coffee Beans,1,2024-05-06 20:52:00,12.62,10013.0,Italy,12.62
530012,SKU-012,Phone Stand,2,2024-12-03 21:17:00,12.24,10071.0,France,24.48
530013,SKU-009,Running Socks,1,2024-08-31 16:35:00,6.93,10084.0,United Kingdom,6.93
530013,SKU-010,Bluetooth Speaker,1,2024-01-27 22:36:00,47.83,10121.0,United Kingdom,47.83
530013,SKU-003,Ceramic Mug,4,2025-01-02 09:02:00,6.62,10034.0,Italy,26.48
530014,SKU-008,Yoga Mat,1,2024-10-05 13:09:00,23.25,10019.0,Italy,23.25
530014,SKU-003,Ceramic Mug,2,2024-07-20 12:23:00,6.53,10100.0,Italy,13.06
530014,SKU-010,Bluetooth Speaker,1,2024-12-22 11:14:00,45.23,10106.0,France,45.23
530015,SKU-005,Notebook A5,4,2025-01-04 20:19:00,5.36,10078.0,Portugal,21.44
530015,SKU-002,Organic Green Tea,2,2024-08-20 17:25:00,8.06,10036.0,United Kingdom,16.12
530015,SKU-010,Bluetooth Speaker,1,2024-02-26 22:13:00,40.73,10134.0,Netherlands,40.73
530016,SKU-012,Phone Stand,2,2024-07-16 09:46:00,11.27,10084.0,United Kingdom,22.54
530016,SKU-006,Wireless Charger,2,2024-03-26 20:30:00,25.93,10052.0,Spain,51.86
530016,SKU-003,Ceramic Mug,10,2024-05-26 15:52:00,7.87,10040.0,Italy,78.7
530017,SKU-012,Phone Stand,1,2025-01-09 19:36:00,12.82,10040.0,Italy,12.82
530017,SKU-002,Organic Green Tea,2,2024-09-21 17:41:00,9.46,10061.0,Portugal,18.92
530017,SKU-005,Notebook A5,2,2024-09-03 08:46:00,5.34,10051.0,Germany,10.68
530018,SKU-010,Bluetooth Speaker,1,2024-05-16 14:05:00,46.99,10131.0,Germany,46.99
530018,SKU-001,Premium Coffee Beans,1,2024-08-08 22:49:00,14.66,10092.0,Italy,14.66
530018,SKU-006,Wireless Charger,2,2024-11-15 13:56:00,23.18,10043.0,United Kingdom,46.36
530019,SKU-007,Desk Lamp,2,2024-08-27 14:59:00,32.83,10140.0,France,65.66
530019,SKU-002,Organic Green Tea,2,2025-01-11 21:49:00,8.41,10099.0,Netherlands,16.82
530019,SKU-004,Reusable Bottle,1,2024-03-09 19:41:00,13.66,10048.0,France,13.66
530020,SKU-010,Bluetooth Speaker,2,2024-10-21 22:00:00,47.41,10128.0,Netherlands,94.82
530020,SKU-011,Cotton Tote Bag,1,2025-01-07 20:40:00,9.8,10122.0,Spain,9.8
530020,SKU-007,Desk Lamp,2,2024-06-28 08:19:00,32.79,10140.0,France,65.58
530021,SKU-009,Running Socks,1,2024-09-30 08:20:00,6.75,10074.0,Netherlands,6.75
530021,SKU-009,Running Socks,5,2024-10-15 17:09:00,7.72,10010.0,Netherlands,38.6
530021,SKU-006,Wireless Charger,1,2024-09-10 16:44:00,24.48,10096.0,Portugal,24.48
530022,SKU-004,Reusable Bottle,1,2025-01-09 10:03:00,16.97,10144.0,United Kingdom,16.97
530022,SKU-011,Cotton Tote Bag,5,2024-08-11 19:25:00,11.27,10096.0,Portugal,56.35
530022,SKU-008,Yoga Mat,1,2025-01-27 20:38:00,24.51,10100.0,Italy,24.51
530023,SKU-010,Bluetooth Speaker,2,2024-05-16 16:05:00,45.78,10065.0,Netherlands,91.56
530023,SKU-004,Reusable Bottle,1,2024-07-03 14:18:00,13.51,10120.0,Portugal,13.51
530023,SKU-007,Desk Lamp,2,2024-12-07 10:08:00,35.79,10061.0,Portugal,71.58
530024,SKU-006,Wireless Charger,1,2025-02-06 09:30:00,25.05,10084.0,United Kingdom,25.05
530024,SKU-010,Bluetooth Speaker,2,2025-02-06 19:03:00,48.51,10078.0,Portugal,97.02
530024,SKU-009,Running Socks,2,2024-03-11 14:16:00,6.88,10055.0,Netherlands,13.76
530025,SKU-002,Organic Green Tea,1,2024-02-23 14:32:00,7.93,10061.0,Portugal,7.93
530025,SKU-007,Desk Lamp,3,2025-04-06 20:44:00,31.08,10091.0,France,93.24
530025,SKU-003,Ceramic Mug,5,2024-05-24 20:08:00,7.77,10083.0,Spain,38.85
530026,SKU-008,Yoga Mat,1,2025-01-03 16:12:00,26.48,10106.0,France,26.48
530026,SKU-008,Yoga Mat,1,2024-03-19 14:41:00,23.61,10008.0,United Kingdom,23.61
530026,SKU-010,Bluetooth Speaker,2,2024-07-01 11:35:00,50.76,10070.0,Germany,101.52
530027,SKU-010,Bluetooth Speaker,1,2024-07-12 19:33:00,46.47,10055.0,Netherlands,46.47
530027,SKU-004,Reusable Bottle,1,2024-05-08 11:04:00,16.57,10061.0,Portugal,16.57
530027,SKU-005,Notebook A5,1,2024-08-06 20:27:00,5.69,10147.0,Italy,5.69
530028,SKU-006,Wireless Charger,1,2025-01-25 18:59:00,23.82,10100.0,Italy,23.82
530028,SKU-010,Bluetooth Speaker,2,2025-02-27 09:07:00,49.44,10064.0,Portugal,98.88
530028,SKU-011,Cotton Tote Bag,1,2024-08-30 14:27:00,9.69,10010.0,Netherlands,9.69
530029,SKU-006,Wireless Charger,3,2024-11-12 13:12:00,26.27,10099.0,Netherlands,78.81
530029,SKU-006,Wireless Charger,4,2024-11-25 13:38:00,22.68,10044.0,Germany,90.72
530029,SKU-011,Cotton Tote Bag,1,2024-12-03 08:49:00,10.23,10103.0,Netherlands,10.23
530030,SKU-005,Notebook A5,2,2024-10-15 10:22:00,5.14,10047.0,Netherlands,10.28
530030,SKU-010,Bluetooth Speaker,1,2024-09-25 21:51:00,50.36,10008.0,United Kingdom,50.36
530030,SKU-008,Yoga Mat,2,2024-11-20 17:09:00,24.24,10140.0,France,48.48
530031,SKU-008,Yoga Mat,1,2024-08-03 08:59:00,25.41,10105.0,Netherlands,25.41
530031,SKU-004,Reusable Bottle,2,2024-12-22 11:43:00,15.0,10005.0,Spain,30.0
530031,SKU-006,Wireless Charger,3,2024-11-28 10:48:00,22.26,10063.0,Netherlands,66.78
