InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539009,23301,GARDENERS KNEELING PAD KEEP CALM,9,2011-05-11 12:48:00,2.18,,Belgium
539741,22469,HEART OF WICKER SMALL,2,2011-10-17 19:20:00,2.39,,United Kingdom
550216,23301,GARDENERS KNEELING PAD KEEP CALM,1,2011-08-30 07:52:00,2.13,14124.0,United Kingdom
546079,10002,INFLATABLE POLITICAL GLOBE,4,2011-07-15 13:24:00,0.92,13598.0,United Kingdom
C549291,21730,GLASS STAR FROSTED T-LIGHT HOLDER,-4,2011-09-10 10:44:00,3.95,14005.0,United Kingdom
538615,22326,ROUND SNACK BOXES SET OF4 WOODLAND,2,2011-07-24 14:34:00,3.93,12646.0,United Kingdom
545724,22629,SPACEBOY LUNCH BOX,1,2011-07-12 19:19:00,2.5,13552.0,United Kingdom
539600,23355,HOT WATER BOTTLE KEEP CALM,3,2011-12-02 18:32:00,5.06,12767.0,United Kingdom
539782,10002,INFLATABLE POLITICAL GLOBE,3,2011-07-18 17:58:00,1.16,12786.0,United Kingdom
548665,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-07-25 14:55:00,3.04,13920.0,Germany
536954,21175,GIN + TONIC DIET METAL SIGN,7,2011-04-28 15:06:00,2.57,12417.0,United Kingdom
C550539,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,-3,2011-09-28 14:36:00,2.89,14179.0,United Kingdom
549842,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-02-18 10:34:00,2.78,14072.0,United Kingdom
545846,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2011-01-14 13:04:00,3.59,13571.0,United Kingdom
543656,22382,LUNCH BAG SPACEBOY DESIGN,4,2011-10-18 19:21:00,1.63,13287.0,United Kingdom
549033,22745,POPPY'S PLAYHOUSE BEDROOM,2,2011-05-27 08:43:00,2.51,13968.0,United Kingdom
549812,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-08-09 14:05:00,6.14,14068.0,Germany
548955,22551,PLASTERS IN TIN SPACEBOY,1,2011-08-11 14:29:00,2.23,13965.0,France
546736,22752,SET 7 BABUSHKA NESTING BOXES,7,2011-07-21 16:41:00,7.19,13683.0,United Kingdom
538452,22423,REGENCY CAKESTAND 3 TIER,2,2011-07-05 19:08:00,14.04,12632.0,United Kingdom
537010,21232,STRAWBERRY CERAMIC TRINKET BOX,2,2011-07-20 10:35:00,1.36,12420.0,United Kingdom
545743,22326,ROUND SNACK BOXES SET OF4 WOODLAND,8,2011-11-13 12:02:00,2.22,13554.0,United Kingdom
550029,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2011-04-20 08:19:00,2.68,14088.0,United Kingdom
540242,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2011-03-18 17:13:00,1.64,12851.0,United Kingdom
549763,23356,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-03-13 07:25:00,5.65,14067.0,United Kingdom
543509,22633,HAND WARMER UNION JACK,2,2011-11-28 08:49:00,2.01,13271.0,United Kingdom
538496,22467,GUMBALL COAT RACK,4,2011-09-15 12:38:00,2.16,12638.0,United Kingdom
538632,22748,POPPY'S PLAYHOUSE KITCHEN,2,2011-08-22 16:28:00,2.88,12646.0,United Kingdom
537610,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-10-06 07:00:00,2.38,12519.0,United Kingdom
548289,23355,HOT WATER BOTTLE KEEP CALM,6,2011-09-29 18:25:00,4.14,13862.0,United Kingdom
538435,22745,POPPY'S PLAYHOUSE BEDROOM,1,2011-07-29 12:45:00,2.36,12632.0,United Kingdom
538237,21175,GIN + TONIC DIET METAL SIGN,4,2011-10-15 18:55:00,1.98,12603.0,United Kingdom
